time,rf,Nino34
1950-01-31,1.2806466,-1.05
1950-02-28,1.0729743,-1.5
1950-03-31,0.98089296,-1.07
1950-04-30,0.8011519,-0.91
1950-05-31,1.6526632,-1.3
1950-06-30,4.9987917,-0.86
1950-07-31,10.511578,-1.08
1950-08-31,7.6888695,-0.63
1950-09-30,6.218359,-1.1
1950-10-31,1.6245338,-0.83
1950-11-30,0.8379065,-1.38
1950-12-31,0.25523776,-1.04
1951-01-31,0.467125,-1.13
1951-02-28,0.37208107,-0.74
1951-03-31,1.3142661,-0.77
1951-04-30,1.6419814,-0.17
1951-05-31,1.8726026,-0.1
1951-06-30,4.850341,-0.09
1951-07-31,7.694918,0.66
1951-08-31,6.7925677,0.9
1951-09-30,3.8426375,0.67
1951-10-31,2.1710036,0.79
1951-11-30,1.1641442,0.78
1951-12-31,0.12316235,0.71
1952-01-31,0.281017,0.39
1952-02-29,0.597667,0.24
1952-03-31,1.0663512,0.04
1952-04-30,1.0659723,0.41
1952-05-31,2.2026732,-0.38
1952-06-30,5.3935084,-0.66
1952-07-31,8.820968,-0.59
1952-08-31,7.8571405,-0.42
1952-09-30,4.0266967,-0.35
1952-10-31,2.4332817,-0.04
1952-11-30,0.23925905,-0.32
1952-12-31,0.6301342,-0.55
1953-01-31,0.8511434,0.36
1953-02-28,0.3472002,0.24
1953-03-31,0.91508,0.22
1953-04-30,1.1406043,0.77
1953-05-31,1.5847429,0.35
1953-06-30,5.1545887,0.41
1953-07-31,9.906301,0.2
1953-08-31,9.137483,0.04
1953-09-30,5.6284323,0.67
1953-10-31,2.6047094,0.11
1953-11-30,0.37881795,0.31
1953-12-31,0.22453482,0.15
1954-01-31,1.0093411,0.39
1954-02-28,1.1220982,0.21
1954-03-31,0.54412776,0.01
1954-04-30,0.9654816,-0.32
1954-05-31,1.880967,-0.53
1954-06-30,4.8254695,-0.8
1954-07-31,9.309326,-1.02
1954-08-31,7.1816745,-1.08
1954-09-30,7.7049885,-1.03
1954-10-31,2.3521833,-0.91
1954-11-30,0.1326779,-1.17
1954-12-31,0.48936424,-0.79
1955-01-31,0.69035345,-0.66
1955-02-28,0.1639966,-0.79
1955-03-31,0.9374864,-0.8
1955-04-30,1.0619781,-0.95
1955-05-31,2.3120098,-1.23
1955-06-30,5.742424,-1.2
1955-07-31,7.6138954,-1.32
1955-08-31,9.598922,-0.91
1955-09-30,6.916384,-1.33
1955-10-31,4.603321,-1.59
1955-11-30,0.7648891,-1.91
1955-12-31,0.3242743,-1.52
1956-01-31,0.5641801,-1.23
